Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
1998-06-24,1.0,1998-07-30,2.397965613045172,26.0,-0.5123266704178148,-6.500302000823539,-13.193009198637364
1998-07-31,-1.0,1998-08-05,6.811299891191425,4.0,2.1949920988094824,-0.12306355203280318,-8.391803222891017
1998-08-06,1.0,1998-08-10,3.8775371938202907,3.0,3.1891772194094767,-0.4061846777969772,-1.30741658932725
1998-08-11,-1.0,1998-08-18,-4.9721315930349235,6.0,-4.932682019181918,-3.5541436912572015,-5.726095731487167
1998-08-19,1.0,1998-08-21,-4.99385940995497,3.0,-4.707906239445069,-2.4486276894499786,-10.434001970932236
1998-08-24,-1.0,1998-08-31,17.212309062316766,6.0,0.549020439520162,-0.40403914177983263,-9.884981531412073
1998-09-01,1.0,1998-09-04,3.362206948275248,4.0,-1.6425077138706168,-1.638776760933645,-1.6425077138706168
1998-09-08,-1.0,1998-09-15,-7.117152118331882,6.0,-7.000252345780375,-5.943932071680052,-8.642760059650993
1998-09-16,1.0,1998-09-30,0.13265240725843785,11.0,-2.448394691215344,-3.810278801563753,-11.091154750866336
1998-10-01,-1.0,1998-10-08,12.570602853156254,6.0,0.9240928403246806,-0.15292766806353703,-7.597479641340568
1998-10-09,1.0,1998-10-16,10.444783751210874,6.0,-2.3534978488979226,-2.360356378501271,-2.3534978488979226
1998-10-19,-1.0,1998-10-22,-5.391927187257517,4.0,-5.391927187257506,-3.960063483445947,-5.391927187257506
1998-10-23,0.0,1998-10-29,0.20153066031480815,5.0,0.19066427385064644,0.0,-5.20126291340686
1998-10-30,1.0,1999-02-10,30.487913736822048,70.0,-2.776952958158256,-7.955689360111104,-7.978215871565117
1999-02-11,-1.0,1999-02-11,-1.64008883248552,1.0,-1.5092390049443933,0.0,-9.48745487650951
1999-02-12,0.0,1999-02-12,1.2780676413817194,1.0,1.1568115506143575,0.0,-8.330643325895153
1999-02-16,-1.0,1999-02-19,3.3184514685024924,4.0,1.8484306875920633,-1.4157446252625847,-6.482212638303089
1999-02-22,1.0,1999-03-23,-0.262599307495448,22.0,-1.8441241368383696,-7.133357195371795,-7.132764350014872
1999-03-24,-1.0,1999-03-24,-1.6408572820088452,1.0,-1.5238187987631004,0.0,-8.656583148777973
1999-03-25,1.0,1999-04-19,-4.9285994998592875,17.0,-4.501951186083692,-11.253534650316714,-13.158534334861665
1999-04-20,-1.0,1999-04-22,-8.239750344299047,3.0,-7.155519966137574,-6.278593310041584,-20.31405430099924
1999-04-23,1.0,1999-04-28,-1.1234531348892407,4.0,0.0,0.0,-20.31405430099924
1999-04-29,-1.0,1999-05-26,6.16002140432963,20.0,0.0,-2.6442139295343683,-20.31405430099924
1999-05-27,1.0,1999-06-14,-0.13748938223197005,12.0,-2.9599945104114664,-5.311903074682682,-5.313060935033544
